product_id,month,demand
SKU-0001,1,41
SKU-0001,2,29
SKU-0001,3,17
SKU-0001,4,39
SKU-0001,5,36
SKU-0001,6,23
SKU-0001,7,24
SKU-0001,8,30
SKU-0001,9,18
SKU-0001,10,26
SKU-0001,11,28
SKU-0001,12,31
SKU-0001,13,28
SKU-0001,14,31
SKU-0001,15,30
SKU-0001,16,25
SKU-0001,17,32
SKU-0001,18,37
SKU-0001,19,30
SKU-0001,20,26
SKU-0001,21,23
SKU-0001,22,39
SKU-0001,23,39
SKU-0001,24,30
SKU-0002,1,77
SKU-0002,2,78
SKU-0002,3,60
SKU-0002,4,54
SKU-0002,5,68
SKU-0002,6,41
SKU-0002,7,44
SKU-0002,8,52
SKU-0002,9,53
SKU-0002,10,73
SKU-0002,11,58
SKU-0002,12,70
SKU-0002,13,61
SKU-0002,14,57
SKU-0002,15,51
SKU-0002,16,53
SKU-0002,17,48
SKU-0002,18,56
SKU-0002,19,64
SKU-0002,20,71
SKU-0002,21,45
SKU-0002,22,70
SKU-0002,23,55
SKU-0002,24,74
SKU-0003,1,34
SKU-0003,2,27
SKU-0003,3,31
SKU-0003,4,21
SKU-0003,5,30
SKU-0003,6,19
SKU-0003,7,21
SKU-0003,8,22
SKU-0003,9,32
SKU-0003,10,20
SKU-0003,11,33
SKU-0003,12,27
SKU-0003,13,34
SKU-0003,14,34
SKU-0003,15,27
SKU-0003,16,28
SKU-0003,17,28
SKU-0003,18,41
SKU-0003,19,22
SKU-0003,20,13
SKU-0003,21,26
SKU-0003,22,34
SKU-0003,23,32
SKU-0003,24,34
SKU-0004,1,80
SKU-0004,2,77
SKU-0004,3,74
SKU-0004,4,82
SKU-0004,5,64
SKU-0004,6,56
SKU-0004,7,57
SKU-0004,8,49
SKU-0004,9,82
SKU-0004,10,67
SKU-0004,11,83
SKU-0004,12,83
SKU-0004,13,93
SKU-0004,14,101
SKU-0004,15,53
SKU-0004,16,72
SKU-0004,17,63
SKU-0004,18,81
SKU-0004,19,73
SKU-0004,20,79
SKU-0004,21,82
SKU-0004,22,92
SKU-0004,23,63
SKU-0004,24,89
SKU-0005,1,190
SKU-0005,2,195
SKU-0005,3,138
SKU-0005,4,133
SKU-0005,5,208
SKU-0005,6,172
SKU-0005,7,127
SKU-0005,8,132
SKU-0005,9,177
SKU-0005,10,217
SKU-0005,11,169
SKU-0005,12,234
SKU-0005,13,233
SKU-0005,14,192
SKU-0005,15,190
SKU-0005,16,186
SKU-0005,17,159
SKU-0005,18,203
SKU-0005,19,139
SKU-0005,20,159
SKU-0005,21,139
SKU-0005,22,147
SKU-0005,23,201
SKU-0005,24,186
SKU-0006,1,80
SKU-0006,2,74
SKU-0006,3,75
SKU-0006,4,89
SKU-0006,5,107
SKU-0006,6,55
SKU-0006,7,58
SKU-0006,8,51
SKU-0006,9,56
SKU-0006,10,88
SKU-0006,11,81
SKU-0006,12,74
SKU-0006,13,81
SKU-0006,14,89
SKU-0006,15,82
SKU-0006,16,70
SKU-0006,17,48
SKU-0006,18,62
SKU-0006,19,62
SKU-0006,20,70
SKU-0006,21,78
SKU-0006,22,100
SKU-0006,23,71
SKU-0006,24,90
SKU-0007,1,73
SKU-0007,2,71
SKU-0007,3,69
SKU-0007,4,62
SKU-0007,5,60
SKU-0007,6,69
SKU-0007,7,59
SKU-0007,8,56
SKU-0007,9,76
SKU-0007,10,54
SKU-0007,11,71
SKU-0007,12,64
SKU-0007,13,68
SKU-0007,14,76
SKU-0007,15,68
SKU-0007,16,77
SKU-0007,17,87
SKU-0007,18,58
SKU-0007,19,54
SKU-0007,20,46
SKU-0007,21,55
SKU-0007,22,66
SKU-0007,23,49
SKU-0007,24,63
SKU-0008,1,65
SKU-0008,2,62
SKU-0008,3,62
SKU-0008,4,40
SKU-0008,5,57
SKU-0008,6,46
SKU-0008,7,51
SKU-0008,8,50
SKU-0008,9,44
SKU-0008,10,70
SKU-0008,11,61
SKU-0008,12,90
SKU-0008,13,64
SKU-0008,14,57
SKU-0008,15,65
SKU-0008,16,43
SKU-0008,17,51
SKU-0008,18,46
SKU-0008,19,62
SKU-0008,20,58
SKU-0008,21,46
SKU-0008,22,45
SKU-0008,23,63
SKU-0008,24,73
SKU-0009,1,84
SKU-0009,2,85
SKU-0009,3,99
SKU-0009,4,112
SKU-0009,5,70
SKU-0009,6,62
SKU-0009,7,76
SKU-0009,8,63
SKU-0009,9,45
SKU-0009,10,86
SKU-0009,11,79
SKU-0009,12,84
SKU-0009,13,91
SKU-0009,14,83
SKU-0009,15,74
SKU-0009,16,97
SKU-0009,17,85
SKU-0009,18,87
SKU-0009,19,84
SKU-0009,20,73
SKU-0009,21,62
SKU-0009,22,72
SKU-0009,23,95
SKU-0009,24,62
SKU-0010,1,73
SKU-0010,2,57
SKU-0010,3,62
SKU-0010,4,79
SKU-0010,5,62
SKU-0010,6,41
SKU-0010,7,45
SKU-0010,8,76
SKU-0010,9,41
SKU-0010,10,88
SKU-0010,11,56
SKU-0010,12,75
SKU-0010,13,62
SKU-0010,14,84
SKU-0010,15,77
SKU-0010,16,62
SKU-0010,17,58
SKU-0010,18,41
SKU-0010,19,47
SKU-0010,20,60
SKU-0010,21,47
SKU-0010,22,45
SKU-0010,23,62
SKU-0010,24,89
SKU-0011,1,17
SKU-0011,2,29
SKU-0011,3,18
SKU-0011,4,26
SKU-0011,5,18
SKU-0011,6,29
SKU-0011,7,33
SKU-0011,8,18
SKU-0011,9,23
SKU-0011,10,24
SKU-0011,11,35
SKU-0011,12,26
SKU-0011,13,26
SKU-0011,14,43
SKU-0011,15,26
SKU-0011,16,16
SKU-0011,17,36
SKU-0011,18,17
SKU-0011,19,28
SKU-0011,20,21
SKU-0011,21,25
SKU-0011,22,35
SKU-0011,23,19
SKU-0011,24,32
SKU-0012,1,44
SKU-0012,2,47
SKU-0012,3,38
SKU-0012,4,48
SKU-0012,5,30
SKU-0012,6,28
SKU-0012,7,31
SKU-0012,8,44
SKU-0012,9,28
SKU-0012,10,42
SKU-0012,11,55
SKU-0012,12,41
SKU-0012,13,39
SKU-0012,14,47
SKU-0012,15,22
SKU-0012,16,36
SKU-0012,17,32
SKU-0012,18,35
SKU-0012,19,43
SKU-0012,20,46
SKU-0012,21,43
SKU-0012,22,62
SKU-0012,23,56
SKU-0012,24,32
SKU-0013,1,33
SKU-0013,2,42
SKU-0013,3,34
SKU-0013,4,31
SKU-0013,5,26
SKU-0013,6,29
SKU-0013,7,30
SKU-0013,8,21
SKU-0013,9,34
SKU-0013,10,39
SKU-0013,11,29
SKU-0013,12,39
SKU-0013,13,46
SKU-0013,14,22
SKU-0013,15,23
SKU-0013,16,42
SKU-0013,17,22
SKU-0013,18,31
SKU-0013,19,32
SKU-0013,20,35
SKU-0013,21,30
SKU-0013,22,29
SKU-0013,23,30
SKU-0013,24,50
SKU-0014,1,432
SKU-0014,2,433
SKU-0014,3,403
SKU-0014,4,464
SKU-0014,5,432
SKU-0014,6,313
SKU-0014,7,349
SKU-0014,8,309
SKU-0014,9,313
SKU-0014,10,476
SKU-0014,11,338
SKU-0014,12,447
SKU-0014,13,436
SKU-0014,14,459
SKU-0014,15,467
SKU-0014,16,437
SKU-0014,17,387
SKU-0014,18,339
SKU-0014,19,314
SKU-0014,20,287
SKU-0014,21,462
SKU-0014,22,351
SKU-0014,23,446
SKU-0014,24,468
SKU-0015,1,157
SKU-0015,2,172
SKU-0015,3,125
SKU-0015,4,102
SKU-0015,5,157
SKU-0015,6,93
SKU-0015,7,111
SKU-0015,8,134
SKU-0015,9,100
SKU-0015,10,168
SKU-0015,11,118
SKU-0015,12,144
SKU-0015,13,131
SKU-0015,14,140
SKU-0015,15,123
SKU-0015,16,140
SKU-0015,17,105
SKU-0015,18,160
SKU-0015,19,136
SKU-0015,20,135
SKU-0015,21,127
SKU-0015,22,129
SKU-0015,23,136
SKU-0015,24,147
SKU-0016,1,74
SKU-0016,2,43
SKU-0016,3,48
SKU-0016,4,61
SKU-0016,5,57
SKU-0016,6,50
SKU-0016,7,53
SKU-0016,8,46
SKU-0016,9,50
SKU-0016,10,57
SKU-0016,11,55
SKU-0016,12,66
SKU-0016,13,57
SKU-0016,14,64
SKU-0016,15,56
SKU-0016,16,72
SKU-0016,17,58
SKU-0016,18,41
SKU-0016,19,46
SKU-0016,20,39
SKU-0016,21,59
SKU-0016,22,65
SKU-0016,23,65
SKU-0016,24,43
SKU-0017,1,11
SKU-0017,2,15
SKU-0017,3,20
SKU-0017,4,24
SKU-0017,5,18
SKU-0017,6,24
SKU-0017,7,17
SKU-0017,8,27
SKU-0017,9,17
SKU-0017,10,21
SKU-0017,11,18
SKU-0017,12,19
SKU-0017,13,22
SKU-0017,14,30
SKU-0017,15,38
SKU-0017,16,21
SKU-0017,17,15
SKU-0017,18,16
SKU-0017,19,27
SKU-0017,20,15
SKU-0017,21,23
SKU-0017,22,19
SKU-0017,23,21
SKU-0017,24,30
SKU-0018,1,185
SKU-0018,2,174
SKU-0018,3,178
SKU-0018,4,167
SKU-0018,5,141
SKU-0018,6,114
SKU-0018,7,115
SKU-0018,8,111
SKU-0018,9,160
SKU-0018,10,156
SKU-0018,11,100
SKU-0018,12,158
SKU-0018,13,161
SKU-0018,14,133
SKU-0018,15,164
SKU-0018,16,120
SKU-0018,17,176
SKU-0018,18,160
SKU-0018,19,135
SKU-0018,20,152
SKU-0018,21,116
SKU-0018,22,138
SKU-0018,23,131
SKU-0018,24,169
SKU-0019,1,84
SKU-0019,2,78
SKU-0019,3,88
SKU-0019,4,57
SKU-0019,5,57
SKU-0019,6,78
SKU-0019,7,68
SKU-0019,8,68
SKU-0019,9,69
SKU-0019,10,94
SKU-0019,11,91
SKU-0019,12,82
SKU-0019,13,82
SKU-0019,14,67
SKU-0019,15,77
SKU-0019,16,70
SKU-0019,17,80
SKU-0019,18,86
SKU-0019,19,54
SKU-0019,20,77
SKU-0019,21,67
SKU-0019,22,67
SKU-0019,23,75
SKU-0019,24,100
SKU-0020,1,55
SKU-0020,2,62
SKU-0020,3,49
SKU-0020,4,43
SKU-0020,5,52
SKU-0020,6,47
SKU-0020,7,34
SKU-0020,8,44
SKU-0020,9,55
SKU-0020,10,67
SKU-0020,11,89
SKU-0020,12,65
SKU-0020,13,68
SKU-0020,14,55
SKU-0020,15,50
SKU-0020,16,54
SKU-0020,17,40
SKU-0020,18,55
SKU-0020,19,47
SKU-0020,20,39
SKU-0020,21,51
SKU-0020,22,46
SKU-0020,23,48
SKU-0020,24,55
SKU-0021,1,53
SKU-0021,2,48
SKU-0021,3,45
SKU-0021,4,49
SKU-0021,5,53
SKU-0021,6,37
SKU-0021,7,40
SKU-0021,8,45
SKU-0021,9,29
SKU-0021,10,52
SKU-0021,11,45
SKU-0021,12,60
SKU-0021,13,35
SKU-0021,14,40
SKU-0021,15,71
SKU-0021,16,36
SKU-0021,17,44
SKU-0021,18,33
SKU-0021,19,39
SKU-0021,20,41
SKU-0021,21,40
SKU-0021,22,48
SKU-0021,23,43
SKU-0021,24,49
SKU-0022,1,225
SKU-0022,2,219
SKU-0022,3,147
SKU-0022,4,152
SKU-0022,5,161
SKU-0022,6,183
SKU-0022,7,147
SKU-0022,8,128
SKU-0022,9,221
SKU-0022,10,199
SKU-0022,11,218
SKU-0022,12,165
SKU-0022,13,200
SKU-0022,14,206
SKU-0022,15,148
SKU-0022,16,143
SKU-0022,17,169
SKU-0022,18,171
SKU-0022,19,181
SKU-0022,20,125
SKU-0022,21,215
SKU-0022,22,167
SKU-0022,23,194
SKU-0022,24,205
SKU-0023,1,285
SKU-0023,2,237
SKU-0023,3,280
SKU-0023,4,310
SKU-0023,5,305
SKU-0023,6,220
SKU-0023,7,284
SKU-0023,8,223
SKU-0023,9,208
SKU-0023,10,337
SKU-0023,11,313
SKU-0023,12,278
SKU-0023,13,289
SKU-0023,14,255
SKU-0023,15,340
SKU-0023,16,228
SKU-0023,17,236
SKU-0023,18,285
SKU-0023,19,236
SKU-0023,20,257
SKU-0023,21,283
SKU-0023,22,234
SKU-0023,23,332
SKU-0023,24,330
SKU-0024,1,10
SKU-0024,2,16
SKU-0024,3,12
SKU-0024,4,14
SKU-0024,5,13
SKU-0024,6,9
SKU-0024,7,12
SKU-0024,8,13
SKU-0024,9,7
SKU-0024,10,8
SKU-0024,11,10
SKU-0024,12,17
SKU-0024,13,4
SKU-0024,14,14
SKU-0024,15,22
SKU-0024,16,20
SKU-0024,17,4
SKU-0024,18,11
SKU-0024,19,10
SKU-0024,20,8
SKU-0024,21,9
SKU-0024,22,9
SKU-0024,23,16
SKU-0024,24,14
SKU-0025,1,64
SKU-0025,2,51
SKU-0025,3,61
SKU-0025,4,45
SKU-0025,5,56
SKU-0025,6,41
SKU-0025,7,45
SKU-0025,8,42
SKU-0025,9,40
SKU-0025,10,59
SKU-0025,11,71
SKU-0025,12,57
SKU-0025,13,65
SKU-0025,14,50
SKU-0025,15,77
SKU-0025,16,64
SKU-0025,17,56
SKU-0025,18,40
SKU-0025,19,49
SKU-0025,20,53
SKU-0025,21,45
SKU-0025,22,46
SKU-0025,23,48
SKU-0025,24,51
SKU-0026,1,229
SKU-0026,2,197
SKU-0026,3,155
SKU-0026,4,189
SKU-0026,5,159
SKU-0026,6,181
SKU-0026,7,165
SKU-0026,8,168
SKU-0026,9,144
SKU-0026,10,155
SKU-0026,11,161
SKU-0026,12,217
SKU-0026,13,205
SKU-0026,14,227
SKU-0026,15,269
SKU-0026,16,167
SKU-0026,17,191
SKU-0026,18,157
SKU-0026,19,176
SKU-0026,20,170
SKU-0026,21,221
SKU-0026,22,214
SKU-0026,23,165
SKU-0026,24,180
SKU-0027,1,112
SKU-0027,2,136
SKU-0027,3,124
SKU-0027,4,108
SKU-0027,5,108
SKU-0027,6,103
SKU-0027,7,93
SKU-0027,8,130
SKU-0027,9,107
SKU-0027,10,104
SKU-0027,11,110
SKU-0027,12,104
SKU-0027,13,131
SKU-0027,14,132
SKU-0027,15,145
SKU-0027,16,98
SKU-0027,17,75
SKU-0027,18,84
SKU-0027,19,107
SKU-0027,20,91
SKU-0027,21,111
SKU-0027,22,124
SKU-0027,23,104
SKU-0027,24,113
SKU-0028,1,97
SKU-0028,2,93
SKU-0028,3,91
SKU-0028,4,103
SKU-0028,5,96
SKU-0028,6,89
SKU-0028,7,83
SKU-0028,8,75
SKU-0028,9,107
SKU-0028,10,84
SKU-0028,11,110
SKU-0028,12,126
SKU-0028,13,98
SKU-0028,14,110
SKU-0028,15,130
SKU-0028,16,118
SKU-0028,17,112
SKU-0028,18,82
SKU-0028,19,93
SKU-0028,20,87
SKU-0028,21,125
SKU-0028,22,93
SKU-0028,23,114
SKU-0028,24,104
SKU-0029,1,23
SKU-0029,2,19
SKU-0029,3,15
SKU-0029,4,15
SKU-0029,5,17
SKU-0029,6,17
SKU-0029,7,13
